last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Severino, Pedro,600474,2021,168,113,.232,.235,-0.003,.305,.334,-0.029,.276,.287,-0.011
Heyward, Jason,518792,2021,169,112,.164,.212,-0.048,.296,.348,-0.052,.245,.287,-0.042
Tom, Ka'ai,664789,2021,115,66,.140,.182,-0.042,.237,.275,-0.038,.245,.286,-0.041
Vázquez, Christian,543877,2021,222,164,.257,.243,0.014,.354,.360,-0.006,.289,.285,0.004
Simmons, Andrelton,592743,2021,194,140,.241,.243,-0.002,.316,.301,0.015,.288,.285,0.003
Castro, Willi,650489,2021,217,142,.219,.228,-0.009,.367,.350,0.017,.285,.285,-0.000
Phillips, Brett,621433,2021,146,69,.213,.188,0.025,.336,.325,0.011,.300,.285,0.015
Gurriel Jr., Lourdes,666971,2021,238,180,.253,.240,0.013,.382,.382,0.000,.282,.283,-0.001
Lagares, Juan,501571,2021,118,89,.228,.250,-0.022,.342,.376,-0.034,.259,.283,-0.024
Lopez, Nicky,670032,2021,193,143,.235,.220,0.015,.309,.280,0.029,.290,.281,0.009
Trevino, Jose,624431,2021,151,115,.231,.252,-0.021,.294,.375,-0.081,.237,.281,-0.044
Moreland, Mitch,519048,2021,151,103,.243,.225,0.018,.390,.347,0.043,.299,.280,0.019
González, Erik,570481,2021,207,164,.227,.256,-0.029,.303,.357,-0.054,.246,.280,-0.034
Hernández, Enrique,571771,2021,222,153,.224,.211,0.013,.371,.370,0.001,.284,.279,0.005
Barnes, Austin,605131,2021,115,69,.219,.203,0.016,.333,.270,0.063,.305,.279,0.026
Tauchman, Mike,643565,2021,163,97,.179,.190,-0.011,.279,.307,-0.028,.263,.278,-0.015
Maton, Nick,665155,2021,110,67,.252,.227,0.025,.369,.355,0.014,.295,.277,0.018
Dubón, Mauricio,643289,2021,150,108,.236,.227,0.009,.371,.378,-0.007,.274,.277,-0.003
Gardner, Brett,458731,2021,171,107,.215,.205,0.010,.333,.294,0.039,.290,.277,0.013
Walker, Christian,572233,2021,129,97,.207,.242,-0.035,.314,.351,-0.037,.246,.277,-0.031
Taylor, Michael A.,572191,2021,219,126,.233,.217,0.016,.342,.360,-0.018,.278,.276,0.002
Fletcher, David,664058,2021,267,226,.273,.271,0.002,.317,.313,0.004,.276,.275,0.001
Locastro, Tim,641796,2021,121,83,.185,.222,-0.037,.231,.291,-0.060,.238,.274,-0.036
Mazara, Nomar,608577,2021,133,88,.197,.210,-0.013,.328,.361,-0.033,.256,.273,-0.017
Jansen, Danny,643376,2021,122,78,.157,.198,-0.041,.278,.328,-0.050,.240,.273,-0.033
Franco, Maikel,596748,2021,261,206,.215,.230,-0.015,.377,.355,0.022,.272,.271,0.001
Rojas, Jose,670351,2021,130,86,.190,.202,-0.012,.364,.364,0.000,.265,.270,-0.005
García, Leury,544725,2021,204,141,.253,.224,0.029,.319,.308,0.011,.282,.268,0.014
Newman, Kevin,621028,2021,236,209,.202,.246,-0.044,.260,.322,-0.062,.222,.268,-0.046
Gutierrez, Kelvin,642721,2021,111,85,.239,.245,-0.006,.339,.348,-0.009,.256,.264,-0.008
Suzuki, Kurt,435559,2021,113,80,.224,.202,0.022,.316,.288,0.028,.282,.262,0.020
Kiermaier, Kevin,595281,2021,156,98,.234,.221,0.013,.317,.310,0.007,.267,.261,0.006
Brosseau, Mike,670712,2021,144,82,.185,.191,-0.006,.331,.313,0.018,.260,.259,0.001
Bradley Jr., Jackie,598265,2021,217,127,.153,.196,-0.043,.270,.298,-0.028,.223,.259,-0.036
Maldonado, Martín,455117,2021,186,111,.178,.194,-0.016,.308,.306,0.002,.251,.257,-0.006
Kim, Ha-Seong,673490,2021,166,113,.211,.208,0.003,.336,.302,0.034,.264,.256,0.008
Jones, JaCoby,592444,2021,105,58,.170,.200,-0.030,.250,.349,-0.099,.205,.255,-0.050
Culberson, Charlie,518586,2021,146,96,.220,.209,0.011,.356,.305,0.051,.277,.254,0.023
Sierra, Magneuris,642423,2021,105,76,.242,.236,0.006,.274,.271,0.003,.253,.253,0.000
Nuñez, Dom,624513,2021,145,74,.164,.165,-0.001,.359,.321,0.038,.260,.250,0.010
Hiura, Keston,669374,2021,122,62,.130,.162,-0.032,.222,.310,-0.088,.204,.248,-0.044
Fuentes, Joshua,658069,2021,208,150,.244,.218,0.026,.386,.306,0.080,.286,.247,0.039
Trammell, Taylor,666211,2021,146,69,.163,.158,0.005,.326,.287,0.039,.260,.245,0.015
Tsutsugo, Yoshi,660294,2021,118,65,.155,.165,-0.010,.194,.241,-0.047,.216,.237,-0.021
Gregorius, Didi,544369,2021,128,95,.229,.209,0.020,.364,.292,0.072,.269,.234,0.035
Ahmed, Nick,605113,2021,208,140,.209,.186,0.023,.304,.259,0.045,.257,.232,0.025
León, Sandy,506702,2021,113,76,.183,.188,-0.005,.231,.291,-0.060,.209,.232,-0.023
Sogard, Eric,519299,2021,139,106,.240,.192,0.048,.310,.267,0.043,.258,.226,0.032
Hedges, Austin,595978,2021,115,67,.144,.163,-0.019,.240,.234,0.006,.198,.204,-0.006
