last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Robles, Victor,645302,2019,617,417,.255,.227,0.028,.419,.363,0.056,.317,.289,0.028
Tapia, Raimel,606132,2019,447,326,.275,.252,0.023,.415,.374,0.041,.307,.286,0.021
Smith Jr., Dwight,596105,2019,392,280,.241,.232,0.009,.412,.364,0.048,.299,.286,0.013
Wolters, Tony,547172,2019,411,299,.262,.246,0.016,.329,.318,0.011,.290,.285,0.005
Peraza, José,606299,2019,403,320,.239,.254,-0.015,.346,.346,0.000,.272,.284,-0.012
Phegley, Josh,572033,2019,342,258,.239,.242,-0.003,.411,.366,0.045,.291,.283,0.008
Gregorius, Didi,544369,2019,344,273,.238,.230,0.008,.441,.381,0.060,.297,.279,0.018
Almora Jr., Albert,546991,2019,363,284,.236,.247,-0.011,.381,.379,0.002,.271,.279,-0.008
Mondesi, Adalberto,609275,2019,443,292,.263,.228,0.035,.424,.375,0.049,.298,.278,0.020
Díaz, Elias,553869,2019,332,251,.241,.239,0.002,.307,.326,-0.019,.265,.278,-0.013
Galvis, Freddy,520471,2019,589,415,.260,.232,0.028,.438,.378,0.060,.307,.276,0.031
Castro, Harold,605612,2019,369,274,.291,.253,0.038,.384,.365,0.019,.292,.274,0.018
Iglesias, José,578428,2019,530,437,.288,.253,0.035,.407,.345,0.062,.306,.273,0.033
Margot, Manuel,622534,2019,441,313,.234,.217,0.017,.387,.325,0.062,.296,.273,0.023
Dyson, Jarrod,502481,2019,452,317,.230,.218,0.012,.320,.291,0.029,.281,.271,0.010
Arcia, Orlando,606115,2019,546,393,.223,.215,0.008,.350,.343,0.007,.269,.271,-0.002
Sánchez, Yolmer,570560,2019,555,389,.252,.226,0.026,.321,.309,0.012,.281,.269,0.012
García, Leury,544725,2019,618,452,.279,.238,0.041,.378,.346,0.032,.294,.267,0.027
DeShields, Delino,592261,2019,408,267,.249,.210,0.039,.347,.307,0.040,.295,.266,0.029
Simmons, Andrelton,592743,2019,424,361,.264,.234,0.030,.364,.317,0.047,.290,.265,0.025
Strange-Gordon, Dee,543829,2019,421,341,.275,.237,0.038,.359,.294,0.065,.282,.250,0.032
Smith, Mallex,605480,2019,566,372,.227,.194,0.033,.335,.276,0.059,.278,.250,0.028
Lopez, Nicky,670032,2019,402,332,.240,.213,0.027,.325,.270,0.055,.260,.234,0.026
