last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Rupp, Cameron,519237,143,PHI,C,29,104,4.83,24.9
Hanigan, Ryan,452672,115,COL,C,37,45,4.82,24.9
Lopez, Raffy,607257,141,TOR,C,30,13,,24.9
Rivera, René,425784,112,CHC,C,34,55,4.84,24.9
Castillo, Welington,456078,110,BAL,C,30,96,4.65,24.9
Nicholas, Brett,592592,140,TEX,C,29,27,,24.9
Votto, Joey,458015,113,CIN,1B,34,208,4.77,24.9
Lind, Adam,452252,120,WSH,1B,34,106,4.63,24.8
Cabrera, Miguel,408234,116,DET,1B,34,150,4.87,24.8
Kemp, Matt,461314,144,ATL,LF,33,169,4.69,24.8
Wieters, Matt,446308,120,WSH,C,31,166,4.71,24.8
Maldonado, Martín,455117,108,LAA,C,31,139,4.86,24.8
Pérez, Roberto,547379,114,CLE,C,29,82,4.80,24.8
Solarte, Yangervis,500208,135,SD,2B,30,187,4.74,24.7
Gutierrez, Franklin,429711,119,LAD,LF,34,27,4.87,24.7
Alonso, Yonder,475174,136,SEA,1B,30,126,4.88,24.6
Posey, Buster,457763,137,SF,C,30,204,4.70,24.5
Chirinos, Robinson,455139,140,TEX,C,33,74,4.78,24.5
Reynolds, Mark,448602,115,COL,1B,34,159,4.76,24.5
Aguilar, Jesús,542583,158,MIL,1B,27,85,4.76,24.5
Encarnación, Edwin,429665,114,CLE,DH,34,174,4.75,24.4
Olson, Matt,621566,133,OAK,1B,23,44,4.74,24.3
Beltré, Adrián,134181,140,TEX,3B,38,145,4.72,24.2
Sucre, Jesús,491696,139,TB,C,29,53,4.81,24.2
Gallagher, Cam,595956,118,KC,C,25,11,,24.1
Bour, Justin,571506,146,MIA,1B,29,140,4.64,24.1
Canó, Robinson,429664,136,SEA,2B,35,238,4.61,24.1
Ellis, A.J.,454560,146,MIA,C,36,58,4.87,24.1
Smoak, Justin,475253,141,TOR,1B,31,169,4.87,24.0
Grandal, Yasmani,518735,119,LAD,C,29,154,4.86,24.0
Morse, Michael,434604,137,SF,1B,35,11,,23.9
Bandy, Jett,542908,158,MIL,C,27,47,4.94,23.8
Moustakas, Mike,519058,118,KC,3B,29,164,4.81,23.8
Maxwell, Bruce,622194,133,OAK,C,27,80,4.88,23.8
León, Sandy,506702,111,BOS,C,28,92,4.73,23.8
Molina, Yadier,425877,138,STL,C,35,170,4.81,23.7
Valbuena, Luis,472528,108,LAA,3B,32,88,4.94,23.6
González, Adrián,408236,119,LAD,1B,35,82,4.88,23.6
Morales, Kendrys,434778,141,TOR,DH,34,189,4.96,23.4
Lobaton, Jose,446653,120,WSH,C,33,47,4.79,23.4
Montero, Miguel,471083,141,TOR,C,34,60,4.91,23.3
Sánchez, Héctor,516949,135,SD,C,28,31,,22.9
Graterol, Juan,492802,108,LAA,C,28,40,5.07,22.9
McCann, Brian,435263,117,HOU,C,33,131,5.03,22.8
Ramos, Wilson,467092,139,TB,C,30,81,4.87,22.7
Martinez, Victor,400121,116,DET,DH,39,126,4.91,22.6
Pujols, Albert,405395,108,LAA,DH,37,193,5.11,21.8
