last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Sánchez, Gary,596142,2020,178,92,.147,.191,-0.044,.365,.427,-0.062,.271,.311,-0.040
Madrigal, Nick,663611,2020,109,96,.340,.299,0.041,.369,.351,0.018,.332,.310,0.022
Suzuki, Kurt,435559,2020,129,95,.270,.246,0.024,.396,.351,0.045,.326,.310,0.016
Marmolejos, José,592530,2020,115,75,.206,.227,-0.021,.411,.441,-0.030,.287,.310,-0.023
Wade, Tyler,642180,2020,105,68,.170,.242,-0.072,.307,.326,-0.019,.271,.310,-0.039
Gregorius, Didi,544369,2020,237,190,.284,.262,0.022,.488,.394,0.094,.348,.309,0.039
Ward, Taylor,621493,2020,102,66,.277,.250,0.027,.383,.396,-0.013,.314,.309,0.005
Margot, Manuel,622534,2020,159,121,.269,.258,0.011,.352,.378,-0.026,.301,.308,-0.007
Markakis, Nick,455976,2020,141,107,.254,.274,-0.020,.392,.361,0.031,.307,.308,-0.001
Joyce, Matt,459964,2020,148,87,.252,.225,0.027,.331,.334,-0.003,.310,.308,0.002
Casali, Curt,592200,2020,93,47,.224,.185,0.039,.500,.341,0.159,.372,.308,0.064
Dickerson, Corey,572816,2020,210,159,.258,.253,0.005,.402,.400,0.002,.306,.307,-0.001
Crawford, Brandon,543063,2020,193,127,.256,.234,0.022,.465,.396,0.069,.334,.307,0.027
Frazier, Adam,624428,2020,230,175,.230,.250,-0.020,.364,.376,-0.012,.291,.307,-0.016
Bradley Jr., Jackie,598265,2020,217,144,.283,.227,0.056,.450,.373,0.077,.352,.305,0.047
Franco, Maikel,596748,2020,243,189,.278,.254,0.024,.457,.394,0.063,.329,.305,0.024
Adames, Willy,642715,2020,205,111,.259,.228,0.031,.481,.392,0.089,.347,.305,0.042
Naylor, Josh,647304,2020,104,85,.247,.275,-0.028,.330,.383,-0.053,.272,.305,-0.033
Taveras, Leody,665750,2020,134,77,.227,.232,-0.005,.395,.375,0.020,.307,.305,0.002
Escobar, Eduardo,500871,2020,222,164,.212,.261,-0.049,.335,.394,-0.059,.257,.305,-0.048
Thames, Eric,519346,2020,140,81,.203,.219,-0.016,.317,.379,-0.062,.276,.305,-0.029
Polanco, Jorge,593871,2020,226,177,.258,.263,-0.005,.354,.381,-0.027,.289,.304,-0.015
Perez, Michael,605421,2020,93,58,.167,.231,-0.064,.238,.404,-0.166,.217,.303,-0.086
Haseley, Adam,656514,2020,92,66,.278,.267,0.011,.342,.340,0.002,.305,.302,0.003
Ahmed, Nick,605113,2020,217,153,.266,.244,0.022,.402,.374,0.028,.318,.302,0.016
