last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Raburn, Ryan,430605,2016,256,146,.220,.192,0.028,.404,.350,0.054,.309,.274,0.035
Lowrie, Jed,476704,2016,369,277,.263,.240,0.023,.322,.319,0.003,.282,.273,0.009
Gonzalez, Marwin,503556,2016,518,373,.254,.226,0.028,.401,.389,0.012,.298,.273,0.025
Saladino, Tyler,573135,2016,319,241,.282,.246,0.036,.409,.365,0.044,.313,.272,0.041
Casali, Curt,592200,2016,256,147,.186,.200,-0.014,.336,.348,-0.012,.268,.272,-0.004
Dyson, Jarrod,502481,2016,337,269,.278,.244,0.034,.388,.298,0.090,.316,.271,0.045
Parra, Gerardo,467827,2016,381,298,.253,.240,0.013,.399,.389,0.010,.284,.271,0.013
Martin, Leonys,547982,2016,576,380,.247,.216,0.031,.378,.326,0.052,.298,.270,0.028
Espinosa, Danny,457787,2016,601,353,.209,.186,0.023,.378,.363,0.015,.294,.270,0.024
d'Arnaud, Chase,488818,2016,262,186,.245,.223,0.022,.335,.301,0.034,.287,.269,0.018
Montero, Miguel,471083,2016,284,185,.216,.188,0.028,.357,.318,0.039,.299,.269,0.030
Coghlan, Chris,458085,2016,300,189,.188,.194,-0.006,.318,.308,0.010,.269,.269,-0.000
Gregorius, Didi,544369,2016,597,490,.276,.243,0.033,.447,.356,0.091,.319,.268,0.051
Iglesias, José,578428,2016,513,427,.255,.242,0.013,.336,.303,0.033,.283,.267,0.016
Carrera, Ezequiel,485567,2016,310,209,.248,.207,0.041,.356,.299,0.057,.301,.267,0.034
Báez, Javier,595879,2016,450,316,.273,.218,0.055,.423,.358,0.065,.316,.266,0.050
Gómez, Carlos,460576,2016,453,278,.231,.208,0.023,.384,.361,0.023,.296,.266,0.030
Adames, Cristhian,542436,2016,256,181,.218,.212,0.006,.302,.279,0.023,.274,.265,0.009
Rosario, Eddie,592696,2016,354,249,.269,.222,0.047,.421,.367,0.054,.304,.264,0.040
Harrison, Josh,543281,2016,522,423,.283,.232,0.051,.388,.345,0.043,.301,.263,0.038
Aoki, Norichika,493114,2016,467,378,.283,.220,0.063,.388,.289,0.099,.324,.263,0.061
Cuthbert, Cheslor,596144,2016,510,382,.274,.231,0.043,.413,.346,0.067,.316,.263,0.053
Pierzynski, A.J.,150229,2016,259,221,.219,.241,-0.022,.304,.340,-0.036,.236,.262,-0.026
Gennett, Scooter,571697,2016,542,387,.263,.213,0.050,.412,.317,0.095,.314,.261,0.053
Ahmed, Nick,605113,2016,308,231,.218,.226,-0.008,.299,.336,-0.037,.245,.261,-0.016
Rickard, Joey,572073,2016,282,208,.268,.216,0.052,.377,.317,0.060,.304,.260,0.044
Santana, Danny,542454,2016,248,180,.240,.221,0.019,.326,.332,-0.006,.265,.260,0.005
Blanco, Grégor,453923,2016,274,192,.224,.208,0.016,.311,.284,0.027,.271,.259,0.012
Flores, Ramón,570717,2016,289,198,.205,.209,-0.004,.261,.267,-0.006,.250,.259,-0.009
Bourn, Michael,456422,2016,413,293,.264,.222,0.042,.371,.312,0.059,.298,.257,0.041
Marisnick, Jake,545350,2016,311,209,.209,.211,-0.002,.331,.312,0.019,.257,.255,0.002
Gomes, Yan,543228,2016,264,184,.167,.205,-0.038,.327,.364,-0.037,.225,.255,-0.030
Escobar, Alcides,444876,2016,682,556,.261,.235,0.026,.350,.314,0.036,.278,.253,0.025
Galvis, Freddy,520471,2016,624,460,.241,.224,0.017,.399,.348,0.051,.284,.253,0.031
Wilson, Bobby,435064,2016,251,175,.237,.214,0.023,.355,.315,0.040,.270,.252,0.018
Ramirez, Alexei,493351,2016,506,418,.241,.241,0.000,.333,.311,0.022,.264,.251,0.013
Bourjos, Peter,488721,2016,383,271,.251,.218,0.033,.389,.312,0.077,.291,.250,0.041
Hamilton, Billy,571740,2016,460,330,.260,.215,0.045,.343,.258,0.085,.294,.246,0.048
Buxton, Byron,621439,2016,331,187,.225,.188,0.037,.430,.323,0.107,.304,.246,0.058
Marte, Ketel,606466,2016,466,362,.259,.233,0.026,.323,.285,0.038,.266,.245,0.021
Pèrez, Carlos,542208,2016,291,229,.209,.213,-0.004,.325,.312,0.013,.246,.242,0.004
Revere, Ben,519184,2016,375,320,.217,.214,0.003,.300,.282,0.018,.246,.241,0.005
Navarro, Dioner,425900,2016,334,238,.207,.197,0.010,.322,.286,0.036,.258,.241,0.017
Aybar, Erick,430947,2016,459,352,.243,.211,0.032,.320,.269,0.051,.271,.238,0.033
Burns, Billy,542993,2016,332,279,.235,.216,0.019,.296,.251,0.045,.247,.226,0.021
Strange-Gordon, Dee,543829,2016,346,273,.268,.196,0.072,.335,.240,0.095,.279,.214,0.065
